Date,Issuer,Symbol, Managers,OfferP,OpeningP,FirstDayClose,ScoopStars,txtfile
5/17/2007,EnerNOC ,ENOC,Credit Suisse/Morgan Stanley,$26.00 ,$30.76 ,$31.13 ,3,0001047469-07-004450.txt
5/17/2007,TriMas ,TRS,Goldman Sachs/Merrill Lynch,$11.00 ,$11.55 ,$11.75 ,2,0001047469-07-004467.txt
5/22/2007,Sirtris ,SIRT,JPMorgan,$10.00 ,$11.00 ,$10.76 ,1,0001047469-07-004542.txt
6/21/2007,The Blackstone Group ,BX,Morgan Stanley/Citi,$31.00 ,$36.45 ,$35.06 ,3,0001047469-07-005160.txt
6/27/2007,Polypore International ,PPO,JPMorgan,$19.00 ,$18.00 ,$18.03 ,1,0001047469-07-005250.txt
7/19/2007,Orbitz Worldwide ,OWW,Morgan Stanley/Goldman Sachs/Lehman Brothers/JPMorgan,$15.00 ,$14.90 ,$14.50 ,1,0001047469-07-005759.txt
7/24/2007,BladeLogic ,BLOG,Morgan Stanley/Merrill Lnych,$17.00 ,$24.25 ,$25.07 ,3,0001047469-07-005836.txt
8/1/2007,Genpact Limited ,G,Morgan Stanley/Citi/JPMorgan,$14.00 ,$14.00 ,$16.75 ,1,0001047469-07-005997.txt
8/7/2007,HireRight ,HIRE,Credit Suisse,$15.00 ,$15.10 ,$14.73 ,2,0001047469-07-006185.txt
10/25/2007,Power Medical Interventions ,PMII,Jefferies/Lazard Capital Markets,$11.00 ,$11.50 ,$11.79 ,1,0001047469-07-008015.txt
10/29/2007,Genoptix,GXDX,Lehman Brothers,$17.00 ,$25.00 ,$25.35 ,3,0001047469-07-008120.txt
11/8/2007,The Ensign Group ,ENSG,D.A. Davidson/Stifel Nicolas,$16.00 ,$15.60 ,$16.14 ,1,0001047469-07-008862.txt
5/18/2001,Instinet Group LLC ,INET,CS First Boston /DB Alex Brown,$14.50 ,$17.00 ,$17.65 ,4,0001047469-07-009395.txt
11/16/2007,Internet Brands ,INET,Thomas Weisel Partners/Jefferies,$8.00 ,$8.00 ,$8.00 ,1,0001047469-07-009395.txt
12/6/2007,Triple-S Management  ,GTS,Credit Suisse/UBS Investment Bank,$14.50 ,$14.80 ,$15.15 ,1,0001047469-07-009892.txt
3/18/2008,CardioNet ,BEAT,Citi,$18.00 ,$18.00 ,$17.70 ,1,0001047469-08-003061.txt
6/23/2004,Strategic Hotel Capital ,SLH,Goldman Sachs,$14.00 ,$14.00 ,$14.35 ,1,0001047469-08-007230.txt
5/10/2007,Solera Holdings ,SLH,Goldman Sachs/JPMorgan,$16.00 ,$16.25 ,$18.40 ,2,0001047469-08-007230.txt
8/10/2004,Kite Realty Group Trust ,KRG,Lehman Brothers/Wachovia,$13.00 ,$13.00 ,$13.00 ,1,0001047469-08-010566.txt
4/15/2009,Rosetta Stone ,RST,Morgan Stanley/William Blair,$18.00 ,$25.00 ,$25.12 ,3,0001047469-09-004213.txt
7/30/2009,PennyMac Investment Trust ,PMT,Merrill Lynch/ Credit Suisse/ Deutsche Bank Securities,$20.00 ,$19.00 ,$19.10 ,1,0001047469-09-007059.txt
9/24/2009,A123 Systems ,AONE,Morgan Stanley/Goldman Sachs,$13.50 ,$16.94 ,$20.29 ,3,0001047469-09-008512.txt
10/2/2009,Echo Global Logitcs ,ECHO,Morgan Stanley/ Citi,$14.00 ,$13.60 ,$14.06 ,2,0001047469-09-008745.txt
10/21/2009,AGA Medical Holdings ,AGAM,BofA Merrill Lynch,$14.50 ,$14.50 ,$14.60 ,1,0001047469-09-009092.txt
11/6/2009,STR Holdings ,STRI,Credit Suisse/Goldman Sachs,$10.00 ,$10.00 ,$13.10 ,1,0001047469-09-009767.txt
11/13/2009,Dollar General ,DG,Citi/Goldman Sachs/KKR/BofA Merrill Lynch/J.P. Morgan,$21.00 ,$22.00 ,$22.73 ,3,0001047469-09-010136.txt
11/20/2009,Cloud Peak Energy ,CLD,Credit Suisse/Morgan Stanley/RBC Capital Markets,$15.00 ,$14.50 ,$14.84 ,1,0001047469-09-010369.txt
7/12/2006,Cowen Group ,COWN,Cowen/Credit Suisse/Merrill Lynch,$16.00 ,$16.00 ,$15.88 ,1,0001047469-09-010770.txt
2/3/2010,Ironwood Pharmaceutical ,IRWD,J.P.Morgan/Morgan Stanley/Credit Suisse,$11.25 ,$11.31 ,$11.65 ,1,0001047469-10-000546.txt
2/11/2010,Generac Holdings ,GNRC,J.P. Morgan/Goldman Sachs,$13.00 ,$13.00 ,$12.84 ,1,0001047469-10-000714.txt
